country,year_enacted,,,,,
Latvia,1922,,,,,
Lebanon,1926,,,,,
Lesotho,1993,,,,,
Liberia,1986,,,,,
Libya,2011,,,,,
Liechtenstein,1921,,,,,
Lithuania,1992,,,,,
Luxembourg,1868,,,,,
The former Yugoslav Republic of Macedonia,1991,,,,,
Madagascar,2010,,,,,
Malawi,1994,,,,,
Malaysia,1957,,,,,
Maldives,2008,,,,,
Mali,1992,,,,,
Malta,1964,,,,,
Marshall Islands  the,1979,,,,,
Mauritania,1991,,,,,
Mauritius,1968,,,,,
Mexico,1917,,,,,
Micronesia  Fed States of ,1978,,,,,
Republic of Moldova,1994,,,,,
Monaco,1962,,,,,
Mongolia,1992,,,,,
Montenegro,2007,,,,,
Morocco,2011,,,,,
Mozambique,2004,,,,,
Myanmar,2008,,,,,
Namibia,1990,,,,,
Nauru,1968,,,,,
Nepal,2006,,,,,
Nepal,2015,,,,,
Netherlands the,1814,,,,,
New Zealand,1852,,,,,
Nicaragua,1987,,,,,
Niger the,2010,,,,,
Nigeria,1999,,,,,
Norway,1814,,,,,
Oman,1996,,,,,
Pakistan,1973,,,,,
Palau,1981,,,,,
Palestine,2003,,,,,
Panama,1972,,,,,
Papua New Guinea,1975,,,,,
Paraguay,1992,,,,,
Democratic People s Republic of Korea the,1972,,,,,
Peru,1993,,,,,
Philippines  the,1987,,,,,
Poland,1791,,,,,
Poland,1997,,,,,
Portugal,1976,,,,,
Qatar,2003,,,,,
Republic of Korea  the,1948,,,,,
Romania,1991,,,,,
Russia,1993,,,,,
Rwanda,2003,,,,,
Samoa,1962,,,,,
Sao Tome and Principe,1975,,,,,
Saudi Arabia,1992,,,,,
Senegal,2001,,,,,
Serbia,2006,,,,,
Seychelles,1993,,,,,
Sierra Leone,1991,,,,,
Singapore,1963,,,,,
Slovakia,1992,,,,,
Slovenia,1991,,,,,
Viet Nam,1992,,,,,
Solomon Islands,1978,,,,,
Somalia,2012,,,,,
South Africa,1996,,,,,
South Sudan,2011,,,,,
Spain,1837,,,,,
Spain,1978,,,,,
Sri Lanka,1978,,,,,
Saint Kitts and Nevis,1983,,,,,
Saint Lucia,1978,,,,,
Saint Vincent and the Grenadines,1979,,,,,
Sudan the,2005,,,,,
Sudan the,2019,,,,,
Suriname,1987,,,,,
Swaziland,2005,,,,,
Sweden,1974,,,,,
Switzerland,1999,,,,,
Syrian Arab Republic the,2012,,,,,
Syrian Arab Republic the,null,,,,,
Taiwan,1947,,,,,
Tajikistan,1994,,,,,
United Republic of Tanzania,1977,,,,,
Thailand,2007,,,,,
Thailand,2014,,,,,
Thailand,2017,,,,,
Togo,1992,,,,,
Tonga,1875,,,,,
Trinidad and Tobago,1976,,,,,
Tunisia,1959,,,,,
Tunisia,2014,,,,,
Turkey,1982,,,,,
Turkmenistan,2008,,,,,
Tuvalu,1986,,,,,
Uganda,1995,,,,,
Ukraine,1996,,,,,
United Arab Emirates,1971,,,,,
United States of America,1789,,,,,
Uruguay,1966,,,,,
Uzbekistan,1992,,,,,
Vanuatu,1980,,,,,
Venezuela,1999,,,,,
Yemen,1991,,,,,
Yemen,null,,,,,
Zambia,1991,,,,,
Zimbabwe,2013,,,,,
